date,mobile,laptop,motor
2021-08-20 22:39:53.687881,8174700,26534060,50489818
2021-08-20 22:40:23.725496,8174700,26534060,50489818
2021-08-20 22:40:53.742833,8174700,26534060,50489818
2021-08-20 22:41:23.722976,8174700,26534060,50489818
2021-08-20 22:41:53.716709,8174700,26534060,50489818
2021-08-20 22:42:23.695814,8174700,26534060,50489818
2021-08-20 22:42:53.697814,8174700,26534060,50489818
2021-08-20 22:43:23.694727,8174700,26534060,50489818
2021-08-21 00:26:33.290455,8175196,26428383,51632771
2021-08-21 00:35:38.973089,8183399,26540678,51632771
2021-08-21 01:26:33.296535,8183383,26428383,51632771
2021-08-21 01:35:38.978434,8183383,26540678,51632771
2021-08-21 02:26:33.301389,8183383,26779815,51632771
2021-08-21 02:35:38.978348,8183383,26428383,51632771
2021-08-21 03:26:33.298610,8009236,26426081,51632771
2021-08-21 03:35:38.973204,8009236,26423923,51632771
2021-08-21 04:26:33.286875,8012139,26579311,51632771
2021-08-21 04:35:38.984079,8012139,26230038,51632771
2021-08-21 05:26:33.302626,8006448,26461189,51632771
2021-08-21 05:35:38.979780,8001716,26913300,51632771
2021-08-21 06:26:33.286744,8000862,26978048,52148771
2021-08-21 06:35:38.998975,8000862,26913300,52148771
2021-08-21 07:26:33.304714,8007228,26915458,52148771
2021-08-21 07:35:38.978013,8007228,26564026,52148771
2021-08-21 08:26:33.292143,8007155,26459717,52148771
2021-08-21 08:35:38.973774,8007155,26532372,52148771
2021-08-21 09:26:33.293620,8005179,26465544,52148771
2021-08-21 09:35:38.972367,8002058,27060134,52148771
2021-08-21 10:26:33.297177,8004407,26538199,52148771
2021-08-21 10:35:38.971973,8181074,26889631,52466771
2021-08-21 11:26:33.289770,8182345,26818199,54458771
2021-08-21 11:35:38.974908,8182662,26266106,54458771
2021-08-21 12:26:33.294146,8182954,26798552,54337771
2021-08-21 12:35:38.976547,8182881,26445969,54337771
2021-08-21 13:26:33.297954,8185944,26402221,55054771
2021-08-21 13:35:38.970386,8182675,26707624,55054771
2021-08-21 14:26:33.285564,8038097,26705465,56254771
2021-08-21 14:35:38.976248,8038097,26651638,56254771
2021-08-21 15:26:33.293261,7987890,26765746,56699771
2021-08-21 16:26:33.287155,7990303,26627724,56104771
2021-08-21 17:26:33.286779,7992835,27038947,57147771
2021-08-21 18:26:33.290587,7963064,26701897,57642771
2021-08-21 20:26:33.291883,7966653,27388527,58742771
2021-08-21 21:26:33.288193,7969797,26783889,58762771
2021-08-21 22:26:33.296319,7971091,27211035,58222771
2021-08-21 23:26:33.284805,8029631,27132047,61597771
2021-08-22 00:26:33.284860,8136417,27107894,61597771
2021-08-22 01:26:33.291421,8166887,26592938,61761791
2021-08-22 02:26:33.293495,8011707,26768452,61761791
2021-08-22 03:26:33.288344,8012835,26655996,61164791
2021-08-22 04:26:33.289306,8025147,26670496,62238740
2021-08-22 05:26:33.288562,8025185,27331728,62238740
2021-08-22 06:26:33.294239,8028040,26920807,62238740
2021-08-22 07:26:33.284258,8028373,27016170,62238740
2021-08-22 08:26:33.284536,8014711,26960938,62238740
2021-08-22 09:26:33.285949,8013986,26973528,62238740
2021-08-22 10:26:33.285716,8045479,26960938,62238740
2021-08-22 11:53:27.307627,8045472,27257530,62238740
2021-08-22 12:07:53.010706,8045850,27257530,62238740
2021-08-22 12:53:27.304526,8045866,26940180,62238740
2021-08-22 13:07:53.021918,8045866,27178395,62817720
2021-08-22 13:53:27.308602,8045794,27559880,63742720
2021-08-22 14:53:27.325486,8038518,27287537,65724251
2021-08-22 15:53:27.290856,8044329,27569109,65506751
2021-08-22 17:53:27.307419,8198417,27571066,63454611
2021-08-22 18:53:27.297817,8057973,27454645,62827803
2021-08-22 20:53:27.297722,8056236,27637766,62827803
2021-08-22 21:53:27.304732,8054971,27639337,62827803
2021-08-22 22:53:27.302912,8053887,27230099,62827803
2021-08-22 23:53:27.295985,8027531,27481599,62827803
2021-08-23 00:53:27.297671,8025584,27176859,62827803
2021-08-23 01:53:27.303998,8022258,27068859,62827803
2021-08-23 02:53:27.298225,8019978,27175073,62827803
2021-08-23 03:53:27.293801,7998560,27093645,62827803
2021-08-23 04:53:27.301847,8004973,27349073,62827803
2021-08-23 05:53:27.307317,8004973,27141716,62827803
2021-08-23 06:53:27.306902,8004973,27349073,62827803
2021-08-23 07:53:27.304529,8004973,27141716,62827803
2021-08-23 08:53:27.301346,8006993,27349073,62463598
2021-08-23 09:53:27.301435,7916393,27001256,62463598
2021-08-23 10:53:27.294881,8134864,27311277,62463598
2021-08-23 11:53:27.302078,8179764,27276992,62668052
2021-08-23 13:01:02.139494,8178892,27264992,62668052
2021-08-23 13:59:44.849225,8180018,27325077,62668052
2021-08-23 14:59:44.857136,8003682,26799385,62691521
2021-08-23 15:01:02.140580,8003682,26799385,62691521
2021-08-23 15:59:44.849777,8008332,26937877,63653911
2021-08-23 16:01:02.144488,8008332,26937877,64405911
2021-08-23 18:18:12.753048,8013190,26936077,74125911
2021-08-23 18:18:15.040521,8013190,26936077,73475911
2021-08-23 19:18:12.756985,8012548,26867442,73896011
2021-08-23 20:18:12.750504,8012914,26894785,73896011
2021-08-23 21:18:12.755230,8013053,26643935,73118011
2021-08-23 22:18:12.763788,8016128,27061570,73768011
2021-08-24 00:41:55.454992,8016823,26626327,73451011
2021-08-24 00:47:18.016002,8016891,26781256,73451011
2021-08-24 01:41:55.480519,8017406,26651327,73451011
2021-08-24 01:47:18.026156,8017406,27189106,73451011
2021-08-24 02:41:55.492475,8017160,27058463,73451011
2021-08-24 02:47:18.054406,8017160,26855892,73451011
2021-08-24 03:41:55.469974,8017555,26934527,73451011
2021-08-24 03:47:18.031377,8011190,26396749,73451011
2021-08-24 04:41:55.508723,8008264,26934527,73451011
2021-08-24 04:47:18.034746,8015570,26804599,73451011
2021-08-24 05:41:55.472014,8015324,26449963,73768011
2021-08-24 05:47:18.046522,8017294,26857813,73118011
2021-08-24 06:41:55.454053,7970167,26457606,73051011
2021-08-24 06:47:18.024016,7970414,26327677,73051011
2021-08-24 07:41:55.448296,8059919,26730170,74020911
2021-08-24 07:47:18.020556,8058598,26730170,74020911
2021-08-24 08:41:55.447872,8055957,26941463,74020911
2021-08-24 08:47:18.018949,8055710,26941463,73370911
2021-08-24 09:41:55.448979,8055546,26812106,74087911
2021-08-24 09:47:18.018711,8055658,26815320,74087911
2021-08-26 20:59:01.384241,8274771,27861199,74057791
2021-08-26 21:59:57.586044,8274371,28000213,74102791
2021-08-26 22:00:23.557467,8274371,28000213,74102791
2021-08-26 22:59:57.577210,8274709,28000919,74102791
2021-08-26 23:00:23.553390,8274709,28000919,74102791
2021-08-27 00:18:59.297913,8274786,27991681,74102791
2021-08-27 00:24:51.527741,8274786,27991681,74102791
2021-08-27 01:18:59.297007,8321933,28114974,74102791
2021-08-27 01:24:51.520034,8321933,28114974,74102791
2021-08-27 02:44:44.532408,8311971,28086883,49677611
2021-08-27 03:57:21.506125,8282087,27960199,49982611
2021-08-27 04:06:36.802979,8282087,27960199,50077611
2021-08-27 04:57:21.500865,8282087,27546919,50077611
2021-08-27 05:06:36.793141,8282087,27933066,49982611
2021-08-27 05:57:21.510815,8264586,27941807,50077611
2021-08-27 06:06:36.795401,8228563,27933066,50077611
2021-08-27 06:57:21.503428,8228448,27354828,50384560
2021-08-27 07:06:36.795369,8228448,27749716,50329560
2021-08-27 07:57:21.496918,8231325,27298486,50329560
2021-08-27 08:06:36.788860,8231325,27337164,50384560
2021-08-27 08:57:21.511023,8231325,27448632,50329560
2021-08-27 09:06:36.800776,8231325,27428346,50384560
2021-08-27 09:57:21.503113,8102808,27438982,50384560
2021-08-27 10:06:36.793018,8096839,27870653,50384560
2021-08-27 10:57:21.505370,8096932,27540632,50329560
2021-08-27 11:06:36.791604,8096932,27994486,50384560
2021-08-27 11:57:21.505556,8097312,27956576,50384560
2021-08-27 12:06:36.793951,8097304,27985604,50329560
2021-08-27 12:57:21.499410,8098971,27570430,50329560
2021-08-27 13:06:36.795378,8098971,27976863,50384560
2021-08-27 13:57:21.505387,8105622,27588059,50329560
2021-08-27 14:06:36.791313,8105622,28273583,50329560
2021-08-27 14:57:21.507505,8115389,27821625,50408560
2021-09-11 12:26:42.571407,7304543,27469364,15281839
2021-09-11 12:26:43.700985,7304543,27469364,15281839
2021-09-11 12:43:25.150948,7304543,27465722,65448321
2021-09-11 12:43:25.693992,7304543,27465722,65448321
2021-09-11 12:44:04.342908,7304543,27465722,65448321
2021-09-11 12:44:03.810849,7304543,27465722,65448321
2021-09-11 12:45:40.724852,7304831,27465722,65448321
2021-09-11 12:45:41.338816,7304831,27465722,65448321
2021-09-11 12:46:28.067258,7304831,27453079,65448321
2021-09-11 12:46:27.485865,7304831,27453079,65448321
2021-09-11 12:47:16.799272,7304831,27453079,65448321
2021-09-11 12:48:38.229388,7304831,27453079,65448321
2021-09-11 12:48:38.727447,7304831,27453079,65448321
2021-09-11 13:48:38.334357,7303044,27373650,64524751
2021-09-11 13:48:38.832433,7303044,27373650,64524751
2021-09-11 14:48:38.417446,7305013,27611090,64524751
2021-09-11 14:48:38.887885,7305013,27611090,64524751
2021-09-11 15:48:38.520309,7311330,27615740,64524751
2021-09-11 15:48:38.990261,7311330,27615740,64524751
2021-09-11 16:48:39.094777,7305192,27613597,64524751
2021-09-11 16:48:38.618241,7305192,27613597,64524751
2021-09-11 17:48:39.198217,7125454,27650061,64524751
2021-09-11 17:48:38.663937,7125454,27650061,64524751
2021-09-11 18:48:38.768604,7132624,27250993,66111700
2021-09-11 18:48:39.248055,7132624,27250993,66111700
2021-09-11 19:48:39.347909,7283942,27353387,67912740
2021-09-11 19:48:38.868014,7283942,27353387,67912740
2021-09-11 20:48:38.969713,7287367,27292394,67912740
2021-09-11 20:48:39.448090,7287367,27292394,67912740
2021-09-11 21:48:39.076555,7287755,27292751,67912740
2021-09-11 21:48:39.456028,7287755,27292751,67912740
2021-09-11 22:48:39.182318,7252793,27291394,67912740
2021-09-11 22:48:39.536749,7252793,27291394,67912740
2021-09-11 22:49:19.101278,7252793,27291394,67912740
2021-09-11 22:49:18.558442,7252793,27291394,67912740
2021-09-11 23:28:02.127487,7253140,27294251,67912740
2021-09-11 23:28:02.713221,7253140,27294251,67912740
2021-09-11 23:29:38.047735,7253140,27294251,67912740
2021-09-11 23:29:38.623818,7253140,27294251,67912740
2021-09-11 23:37:21.312035,7253508,27293558,67912740
2021-09-11 23:37:20.649229,7253508,27293558,67912740
2021-09-11 23:40:38.244882,7253508,27293558,67912740
2021-09-11 23:40:37.675448,7253508,27293558,67912740
2021-09-11 23:43:13.906725,7253508,27293558,67912740
2021-09-11 23:43:14.472553,7253508,27293558,67912740
2021-09-11 23:45:45.223457,7253508,27293558,67912740
2021-09-11 23:45:45.792002,7253508,27293558,67912740
2021-09-11 23:49:59.651781,7253535,27293558,67912740
2021-09-11 23:50:00.249260,7253535,27293558,67912740
2021-09-11 23:59:45.405003,7253535,27293558,67912740
2021-09-11 23:59:45.986905,7253535,27293558,67912740
2021-09-12 00:00:06.471690,7253535,27293558,67912740
2021-09-12 00:00:07.054716,7253535,27293558,67912740
2021-09-12 00:00:27.253345,7253535,27293558,67912740
2021-09-12 00:00:26.702847,7253535,27293558,67912740
2021-09-12 00:01:12.581151,7253738,27294415,67912740
2021-09-12 00:01:13.192776,7253738,27294415,67912740
2021-09-26 11:41:46.240105,8147391,27196412,61257351
2021-09-26 11:41:46.868990,8147391,27196412,61257351
2021-10-14 18:21:15.184580,8619290,29601372,54314861
2021-10-14 18:21:16.161830,8619290,29601372,54314861
2021-10-14 18:25:13.290314,8619290,29601372,54314861
2021-10-14 18:25:13.780096,8619290,29601372,54314861
2021-10-16 10:57:39.883079,8683816,29027781,53388000
2021-10-16 10:57:37.735996,8683816,29027781,53388000
2021-10-16 13:48:37.815584,8755372,29081233,53388000
2021-10-16 13:48:40.034588,8755372,29081233,53388000
2021-10-16 14:48:37.920375,8765166,29079288,53388000
2021-10-16 14:48:40.138748,8765166,29079288,53388000
2021-10-17 10:27:27.500145,8856235,28752151,52466785
2021-10-17 10:27:27.015659,8856235,28752151,52466785
2021-10-17 11:27:29.512415,8835805,29086213,52466785
2021-10-17 11:27:28.992003,8835805,29086213,52466785
2021-10-18 10:34:13.384975,8716038,29297697,49746772
2021-10-18 10:34:12.762668,8716038,29297697,49746772
2021-10-23 13:01:26.130647,8605048,29959618,44555568
2021-10-23 13:01:26.609467,8605048,29959618,44555568
2021-10-25 15:41:21.349830,8613934,29660860,50728792
2021-10-25 15:41:20.887371,8613934,29660860,50728792
2021-10-26 13:01:33.718238,8943896,29717265,54607538
2021-10-26 13:01:34.339742,8943896,29717265,54607538
2021-10-27 12:36:12.867576,9200718,30781084,57038040
2021-10-27 12:36:12.056600,9200718,30781084,57038040
2021-11-06 07:11:48.884446,9223646,32890681,57091071
2021-11-06 07:11:53.093461,9223646,32890681,57091071
2021-11-06 07:15:24.498409,9223646,32890681,57091071
2021-11-06 07:15:29.283999,9223646,32890681,57091071
2021-11-06 07:29:26.669197,9223646,32890681,57091071
2021-11-06 07:29:30.658820,9223646,32890681,57091071
2021-11-06 07:35:01.223833,9220550,32891264,57091071
2021-11-06 07:35:07.078334,9220550,32891264,57091071
2021-11-06 08:01:04.198935,9231751,32929659,57091071
2021-11-06 08:01:01.010090,9231751,32929659,57091071
2021-11-06 08:14:15.340226,9231751,32929659,57091071
2021-11-06 08:14:19.020459,9231751,32929659,57091071
2021-11-06 08:14:57.587714,9231751,32929659,57091071
2021-11-06 08:14:59.291556,9231751,32929659,57091071
2021-11-06 08:18:23.127764,9231854,32930316,57091071
2021-11-06 08:18:26.108623,9231854,32930316,57091071
